,Predicted Class,Class 1 Prob,Class 2 Prob,UNIQUE_ID,Protected
2156,0.0,0.5856668967202686,0.41433310327973155,245080246,0
850,0.0,0.5854943861323728,0.41450561386762724,236247410,0
2075,0.0,0.5843278099763465,0.41567219002365363,245159824,0
148,0.0,0.5840816809465612,0.4159183190534387,245211902,0
706,0.0,0.583849344810338,0.4161506551896621,245123604,0
155,0.0,0.5836866907849622,0.4163133092150382,245057242,0
660,0.0,0.583669232469722,0.41633076753027803,245047098,0
490,0.0,0.5833248988000728,0.41667510119992734,230177111,0
2064,0.0,0.5832907354978087,0.4167092645021912,245060577,0
863,0.0,0.5831416466158187,0.4168583533841814,245136238,0
1959,0.0,0.5830951510379205,0.4169048489620796,245076253,0
1042,0.0,0.5828786666507189,0.41712133334928125,245120903,0
26,0.0,0.5826899993602355,0.4173100006397646,245206968,0
1723,0.0,0.5824672021643306,0.41753279783566916,245144949,0
377,0.0,0.5824597957321456,0.4175402042678546,244998661,0
1366,0.0,0.5824387488982298,0.4175612511017704,245245339,0
828,0.0,0.5823518830219072,0.41764811697809306,245123333,0
1316,0.0,0.582323948044382,0.41767605195561797,245185960,0
1096,0.0,0.5822204981594399,0.41777950184055995,221400030,0
2100,0.0,0.5820552329034571,0.4179447670965432,245095777,0
728,0.0,0.582025287757091,0.41797471224290894,245213509,0
1863,0.0,0.5818190735587413,0.4181809264412588,245087299,0
812,0.0,0.581815550968487,0.41818444903151303,238475118,0
1287,0.0,0.5816949496122523,0.4183050503877477,244944677,0
229,0.0,0.5816583698817825,0.41834163011821757,245181078,0
2131,0.0,0.5816046925088932,0.418395307491107,245152751,0
183,0.0,0.5815957488467218,0.41840425115327823,245064301,0
375,0.0,0.5814715157057438,0.41852848429425626,245185561,0
1365,0.0,0.5814215511066836,0.4185784488933163,245128274,0
1856,0.0,0.5813991869521076,0.41860081304789254,244948376,0
1253,0.0,0.5813015906987163,0.4186984093012837,245070668,0
1329,0.0,0.5813008191704725,0.4186991808295275,245048395,0
2214,0.0,0.5811760255122572,0.4188239744877429,245125157,0
1722,0.0,0.5810172430704406,0.41898275692955944,236045848,0
489,0.0,0.5810004424397779,0.4189995575602222,125092751,0
1441,0.0,0.5809897811650689,0.41901021883493106,245122625,0
1938,0.0,0.5809318569655414,0.4190681430344587,245113645,0
404,0.0,0.580870315858252,0.41912968414174806,245165734,0
1718,0.0,0.580806985612655,0.419193014387345,242180092,0
177,0.0,0.5806591964443778,0.41934080355562225,244967460,0
1694,0.0,0.5806379441130105,0.4193620558869894,244999025,0
442,0.0,0.5801672319632989,0.4198327680367012,240626947,0
376,0.0,0.580029483893369,0.41997051610663116,245128464,0
1932,0.0,0.5800184025699662,0.419981597430034,240674542,0
1589,0.0,0.5797930615891825,0.42020693841081774,245086374,0
31,0.0,0.5796776985761909,0.4203223014238093,245061918,0
662,0.0,0.5796316037984137,0.4203683962015862,245080295,0
443,0.0,0.5795786010817326,0.4204213989182674,245175423,0
2172,0.0,0.5794127385298266,0.4205872614701736,245103289,0
1775,0.0,0.5791145579923197,0.42088544200768047,245118667,0
1875,0.0,0.5788789082584679,0.42112109174153206,245125108,0
